country,time,gdp_pct_change_yoy
Albania,2002-03-31,5.678667914466828
Albania,2002-06-30,3.9743545551687465
Albania,2002-09-30,3.8895305387594226
Albania,2002-12-31,6.06920789402543
Albania,2003-03-31,5.980049791976483
Albania,2003-06-30,6.119878000265211
Albania,2003-09-30,5.985351338979172
Albania,2003-12-31,3.3898305084745672
Albania,2004-03-31,4.042378760169019
Albania,2004-06-30,4.600124960949725
Albania,2004-09-30,4.883767565983299
Albania,2004-12-31,7.042709232096622
Albania,2005-03-31,5.427930658261593
Albania,2005-06-30,6.51534383633241
Albania,2005-09-30,5.790301942847065
Albania,2005-12-31,3.815761065131351
Albania,2006-03-31,6.427688504326334
Albania,2006-06-30,4.68259309107224
Albania,2006-09-30,5.469206172667862
Albania,2006-12-31,6.677203782269903
Albania,2007-03-31,5.4087999351754235
Albania,2007-06-30,5.924894198317876
Albania,2007-09-30,6.324475376990413
Albania,2007-12-31,9.33690312183204
Albania,2008-03-31,8.318919680721581
Albania,2008-06-30,8.252414909219642
Albania,2008-09-30,9.279462448240805
Albania,2008-12-31,4.771414307110766
Albania,2009-03-31,5.781604844814536
Albania,2009-06-30,4.926476599820129
Albania,2009-09-30,0.11458132437860424
Albania,2009-12-31,-0.9450873610165611
Albania,2010-03-31,0.6686644601484826
Albania,2010-06-30,1.5873192559858529
Albania,2010-09-30,3.2680627322998923
Albania,2010-12-31,4.07183845510668
Albania,2011-03-31,5.501499500166607
Albania,2011-06-30,-0.0405421693347896
Albania,2011-09-30,1.7227757538515576
Albania,2011-12-31,3.3435319495498828
Albania,2012-03-31,-1.3518208521524966
Albania,2012-06-30,2.8489684958235673
Albania,2012-09-30,1.8003926560376193
Albania,2012-12-31,0.7763578274760485
Albania,2013-03-31,1.9797436472107632
Albania,2013-06-30,3.1814548361311035
Albania,2013-09-30,-1.6657659662396185
Albania,2013-12-31,2.9589237971446414
Albania,2014-03-31,2.035498252297119
Albania,2014-06-30,1.1507075715318615
Albania,2014-09-30,5.433248203105623
Albania,2014-12-31,0.6425191678042452
Albania,2015-03-31,1.313859629329528
Albania,2015-06-30,1.244842939422397
Albania,2015-09-30,2.761623450291806
Albania,2015-12-31,3.5480087705879404
Albania,2016-03-31,3.663697104677066
Albania,2016-06-30,4.118293777674675
Albania,2016-09-30,4.0510030534199215
Albania,2016-12-31,3.951385742706881
Albania,2017-03-31,3.5781599429681954
Albania,2017-06-30,3.509774669172505
Albania,2017-09-30,2.5493232392750587
Albania,2017-12-31,3.8712978227502637
Albania,2018-03-31,3.9504822605432643
Albania,2018-06-30,4.456756731462153
Albania,2018-09-30,4.2784038477671205
Albania,2018-12-31,1.9510726795096245
