country,time,gdp_pct_change_yoy,u_pct_change,hicp_pct_change,LCI_pct_change
Italy,2011-06-30,1.4633673914096201,-3.4332688588007754,3.010752688172036,1.1
Italy,2011-09-30,0.7562733015241241,8.255528255528265,3.659849300322926,1.0
Italy,2011-12-31,-1.074311320483723,19.551122194513717,3.727369542066028,1.2
Italy,2012-03-31,-2.6923516634274502,34.422110552763826,3.8054968287526414,0.9
Italy,2012-06-30,-3.248191207071005,36.40460691036556,3.653444676409179,-0.3
Italy,2012-09-30,-3.5018261644794157,27.280980481162054,3.4267912772585563,-0.6
Italy,2012-12-31,-3.2569664237250384,20.69253233208177,2.566735112936347,-3.1
Italy,2013-03-31,-3.024339618946914,11.887850467289729,1.8329938900203624,-2.7
Italy,2013-06-30,-2.288803606838785,13.069016152716584,1.2084592145015227,2.1
Italy,2013-09-30,-1.2904315346101924,11.198288159771753,0.9036144578313365,2.2
Italy,2013-12-31,-0.6693212742116206,8.84894573107502,0.6006006006005871,5.2
Italy,2014-03-31,0.1918242486042221,7.083194119612424,0.29999999999998916,3.9
Italy,2014-06-30,0.24635764264007154,-0.8116883116883078,0.29850746268655914,0.7
Italy,2014-09-30,-0.0563578724903091,4.073123797305955,-0.09950248756218638,2.9
Italy,2014-12-31,-0.0775560770726047,-1.3655128612257816,0.0,-0.6
Italy,2015-03-31,0.31741553220003826,-1.4352574102964089,0.0,1.7
Italy,2015-06-30,0.6637324120982502,1.4729950900163713,0.1984126984126977,1.2
Italy,2015-09-30,0.6807036623065477,-10.816640986132509,0.19920318725097363,-1.5
Italy,2015-12-31,1.3194766445577821,-5.505473277527361,0.09950248756218638,1.7
Italy,2016-03-31,1.1441026980332225,-7.280785058562833,-0.1994017946161497,-2.2
Italy,2016-06-30,1.0235527184679682,-4.258064516129034,-0.1980198019801982,-1.5
Italy,2016-09-30,1.701255188278239,4.28472702142364,0.09940357852884496,-0.3
Italy,2016-12-31,1.547032781176938,3.1345826235093632,0.497017892644136,-1.0
Italy,2017-03-31,1.821377851489192,0.7852509388869944,1.3986013986013957,-0.2
Italy,2017-06-30,1.9372282581782585,-4.245283018867929,1.1904761904761862,2.1
Italy,2017-09-30,1.3905552386759057,-5.202120609675287,1.2909632571995955,1.7
Italy,2017-12-31,1.612618791025766,-8.358110340270898,0.9891196834816984,-0.3
Italy,2018-03-31,0.980229598057103,-5.047425474254741,0.886699507389177,2.1
Italy,2018-06-30,0.7976682050036432,-2.9556650246305383,1.3725490196078383,-0.4
Italy,2018-09-30,0.6226964112512112,-7.759524641733662,1.4705882352941124,1.0
Italy,2018-12-31,0.3229974160206872,-5.118961788031728,1.175318315377094,0.9
Italy,2019-03-31,0.7176525132326361,-6.171958615768824,1.07421875,0.9
Italy,2019-06-30,0.7875002409731602,-10.51486584481508,0.7736943907156624,0.2
Italy,2019-09-30,0.41834551097916783,-5.98711633194392,0.19323671497584183,-1.8
Italy,2019-12-31,-0.2527606654429082,-5.585106382978722,0.4840271055179146,1.9
Italy,2020-03-31,-6.255574202829073,-28.517110266159694,0.09661835748790981,9.8
Italy,2020-06-30,-18.038885647886925,-5.834683954619124,-0.38387715930903177,4.8
Italy,2020-09-30,-5.881393027184756,-0.04030632809350898,-0.9643201542912205,10.1
Italy,2020-12-31,-5.587351138859975,-4.064386317907442,-0.28901734104046506,6.6
Italy,2021-03-31,2.0224650135035604,33.03191489361703,0.5791505791505891,-4.9
Italy,2021-06-30,19.206310311431608,1.2478485370051695,1.3487475915221703,0.3
Italy,2021-09-30,6.785382818794683,-8.024193548387093,2.921129503407993,-1.7
Italy,2021-12-31,8.507077325005863,-7.340604026845643,4.154589371980677,-2.5
Italy,2022-03-31,7.374986212636259,-16.993202718912436,6.813819577735125,-1.3
Italy,2022-06-30,6.339992756531365,-12.239694007649804,8.460076045627375,0.8
Italy,2022-09-30,4.042902714370311,-12.231477422183257,9.366130558183539,1.1
Italy,2022-12-31,2.3296496590641924,-9.778180172023543,12.337662337662337,2.3
Italy,2023-03-31,2.081543461208013,-3.4682080924855474,8.086253369272246,-1.9
Italy,2023-06-30,0.41329921390305113,-8.377723970944306,6.748466257668717,3.7
Italy,2023-09-30,0.23133060999678268,-1.0489510489510523,5.622837370242206,1.8
Italy,2023-12-31,0.5505413503428258,-9.282488710486703,0.49545829892652105,-2.8
Italy,2024-03-31,0.2598044148454326,-11.876247504990022,1.2468827930174564,1.5
Italy,2024-06-30,0.6673572469680034,-8.668076109936573,0.9031198686371145,-0.6
Italy,2024-09-30,0.5687490268988071,-20.292781423523476,0.7371007371007376,2.0
Italy,2024-12-31,0.582261588102484,-9.402654867256633,1.396877567789656,8.3
Italy,2025-03-31,0.6679014936540328,-8.267270668176675,2.1346469622331776,6.0
Lithuania,2002-03-31,4.92816779153602,-12.631578947368416,1.6594516594516717,2.3
Lithuania,2002-06-30,7.787532145074061,-26.501766784452297,-0.38450583879235944,10.0
Lithuania,2002-09-30,7.084865727569234,-25.266903914590742,-1.3579188107489815,9.6
